"genre","us_creator","type","duration","female_percent","age_13_17","age_18_24","age_25_34","age_35_44","age_45_54","age_55_plus","us_audience","sponsored","monthly_views_growth","followers","uploads_90d","month","dow","live","views"
"Sports",1,"media company",32.316666,12.024639,2.794941,23.261164,31.368101,17.447468,12.551165,12.577163,30.856287,0,0.05302412,972.221,1118,7,3,0,27.554
"Sports",1,"media company",4.4,10.7333145,11.9289875,42.724197,33.791218,7.5913467,1.7688098,2.1954405,37.893944,0,0.042929303,155.306,629,1,5,0,77.537
"Sports",1,"media company",5.1833334,12.024639,2.794941,23.261164,31.368101,17.447468,12.551165,12.577163,30.856287,0,0.05302412,972.221,1118,7,1,0,44.778
"Entertainment",0,"media company",1.4833333,28.145414,2.6426907,37.385746,36.796547,12.2328415,5.3873286,5.5548463,6.583815,0,0.025293006,4265.123,305,7,2,0,399.164
"Entertainment",1,"media company",0.48333332,41.08758,2.751409,34.409283,35.046566,13.62656,7.2367373,6.9294443,76.97748,0,0.011966229,461.804,226,12,4,0,46.365
"Entertainment",0,"media company",2.1833334,27.95445,5.182669,21.898096,27.215689,16.255964,15.162929,14.28465,68.63595,0,0.13280946,240.71,285,7,1,0,96.587
"Entertainment",1,"media company",1.3666667,41.08758,2.751409,34.409283,35.046566,13.62656,7.2367373,6.9294443,76.97748,0,0.011966229,461.804,226,12,6,0,25.775
"Sports",1,"media company",0.78333336,12.024639,2.794941,23.261164,31.368101,17.447468,12.551165,12.577163,30.856287,0,0.05302412,972.221,1118,7,3,0,101.737
"Sports",1,"media company",0.2,12.024639,2.794941,23.261164,31.368101,17.447468,12.551165,12.577163,30.856287,0,0.05302412,972.221,1118,7,4,0,17.574
"Sports",0,"media company",0.56666666,41.08758,2.751409,34.409283,35.046566,13.62656,7.2367373,6.9294443,76.97748,0,0.03771036,141.163,223,4,6,0,18.583
"Food & Drink",1,"media company",1.0333333,45.470882,14.055589,45.390423,29.45751,6.147866,2.3545792,2.5940342,50.16668,0,0.004513912,223.733,299,11,1,0,21.898
"Entertainment",0,"media company",0.5,27.95445,5.182669,21.898096,27.215689,16.255964,15.162929,14.28465,68.63595,0,0.13280946,240.71,285,8,5,0,98.128
"Entertainment",0,"media company",1.5666667,27.95445,5.182669,21.898096,27.215689,16.255964,15.162929,14.28465,68.63595,0,0.13280946,240.71,285,8,0,0,182.52
"Food & Drink",0,"influencer",2.0166667,60.28983,1.81772,26.979008,36.65147,19.494465,7.999688,7.057646,34.673367,0,0.021507109,383.422,53,9,6,0,28.07
"Sports",1,"media company",1,12.32332,7.079479,36.032818,31.513014,10.496555,7.0759273,7.802206,77.79328,0,0.0017987216,1270.477,167,11,5,0,11.694
"Entertainment",0,"media company",3.0333333,27.95445,5.182669,21.898096,27.215689,16.255964,15.162929,14.28465,68.63595,0,0.13280946,240.71,285,8,5,0,13.749
"News & Politics",1,"media company",1.2833333,56.29047,5.1918607,42.229874,35.74266,10.899912,3.125375,2.8103178,50.32314,0,0.002125116,3763.862,121,6,3,0,341.418
"Sports",1,"media company",0.95,12.024639,2.794941,23.261164,31.368101,17.447468,12.551165,12.577163,30.856287,0,0.05302412,972.221,1118,8,0,0,73.991
"Entertainment",0,"media company",0.5,9.670661,3.7365031,30.043709,32.998615,14.449145,9.117061,9.654967,73.722626,0,0.043697827,84.772,1976,10,1,0,10.378
"Entertainment",1,"media company",4.7833333,40.011436,2.1576266,24.159645,30.386677,17.832863,13.421588,12.041601,72.83951,0,0.016077036,270.083,204,11,4,0,14.298
"Sports",1,"media company",0.53333336,12.024639,2.794941,23.261164,31.368101,17.447468,12.551165,12.577163,30.856287,0,0.05302412,972.221,1118,9,5,0,93.427
"Entertainment",1,"media company",1.0166667,36.641167,3.163764,20.07823,28.842455,18.796284,15.178069,13.941198,76.30662,0,0.036329255,907.676,211,3,1,0,39.354
"Entertainment",0,"media company",0.8666667,27.95445,5.182669,21.898096,27.215689,16.255964,15.162929,14.28465,68.63595,0,0.13280946,240.71,285,9,1,0,70.401
"Sports",1,"media company",0.95,9.670661,3.7365031,30.043709,32.998615,14.449145,9.117061,9.654967,73.722626,0,0.011439679,2837.649,562,3,6,0,191.829
"Entertainment",0,"media company",2,27.95445,5.182669,21.898096,27.215689,16.255964,15.162929,14.28465,68.63595,0,0.13280946,240.71,285,9,5,0,29.446
"Entertainment",0,"media company",2.1166666,27.95445,5.182669,21.898096,27.215689,16.255964,15.162929,14.28465,68.63595,0,0.13280946,240.71,285,10,3,0,68.044
"News & Politics",1,"media company",1.1833333,56.29047,5.1918607,42.229874,35.74266,10.899912,3.125375,2.8103178,50.32314,0,0.002125116,3763.862,121,7,6,0,340.455
"Entertainment",1,"media company",0.5,78.55153,11.901507,51.16927,30.707308,3.8730226,1.1526252,1.1962651,21.99459,0,0.0029714042,1390.791,43,12,4,0,95.222
"Entertainment",1,"media company",1.7666667,41.467705,9.793074,42.18559,31.867767,8.732419,3.7397358,3.681414,46.50821,0,0.031739768,3813.333,391,8,3,0,224.14
"Entertainment",1,"media company",0.81666666,30.13772,3.285034,16.713976,26.37153,19.339844,17.793966,16.495651,75.42417,0,0.055003982,1011.363,4117,6,1,0,50.179
"Entertainment",1,"media company",0.7,78.55153,11.901507,51.16927,30.707308,3.8730226,1.1526252,1.1962651,21.99459,0,0.0029714042,1390.791,43,12,6,0,69.139
"Entertainment",0,"media company",2.15,27.95445,5.182669,21.898096,27.215689,16.255964,15.162929,14.28465,68.63595,0,0.13280946,240.71,285,11,3,0,66.139
"Entertainment",1,"media company",1.2,36.641167,3.163764,20.07823,28.842455,18.796284,15.178069,13.941198,76.30662,0,0.036329255,907.676,211,4,0,0,43.04
"Other",1,"influencer",0.8666667,19.35551,6.8694496,32.46499,31.689846,12.990742,8.085685,7.899287,45.533897,0,0.06742951,2530.914,306,6,1,0,181.597
"Entertainment",0,"media company",2.7833333,27.95445,5.182669,21.898096,27.215689,16.255964,15.162929,14.28465,68.63595,0,0.13280946,240.71,285,12,6,0,113.653
"Entertainment",1,"media company",1.35,30.13772,3.285034,16.713976,26.37153,19.339844,17.793966,16.495651,75.42417,0,0.055003982,1011.363,4117,7,3,0,61.424
"Entertainment",0,"media company",2.0333333,30.311445,3.5237331,28.530708,31.822527,15.214183,10.774184,10.134665,42.39455,0,0.020679232,413.702,548,4,4,0,38.045
